epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,106.591,2.33356,3.97944,0.00456,0.62508,0.13775,0.13311,0.05451,1.73298,3.87633,0.00983,0.000415152,0.000415152,0.000415152
2,207.574,1.55696,2.43203,0.00255,0.22146,0.25077,0.20109,0.10496,1.54877,2.9252,0.00785,0.000821524,0.000821524,0.000821524
3,307.931,1.51285,2.03129,0.00254,0.25112,0.33949,0.26749,0.13152,1.64436,2.78541,0.00912,0.00121758,0.00121758,0.00121758
4,408.752,1.5209,1.76445,0.00244,0.62493,0.33461,0.32039,0.16587,1.53019,2.2824,0.00732,0.00120359,0.00120359,0.00120359
5,509.002,1.48839,1.51698,0.00238,0.31704,0.3632,0.33018,0.16935,1.56557,2.03581,0.00695,0.00118812,0.00118812,0.00118812
6,609.571,1.4496,1.37156,0.00226,0.71275,0.37297,0.37775,0.20975,1.45997,1.81453,0.00674,0.00117266,0.00117266,0.00117266
7,709.137,1.41813,1.2359,0.00229,0.69305,0.40322,0.40301,0.23226,1.3746,1.64181,0.0064,0.00115719,0.00115719,0.00115719
8,808.678,1.3308,1.11196,0.00212,0.45231,0.43439,0.42515,0.24798,1.34039,1.41518,0.00618,0.00114172,0.00114172,0.00114172
9,908.28,1.35617,1.03511,0.00213,0.46178,0.44755,0.43073,0.24877,1.38562,1.35583,0.00603,0.00112625,0.00112625,0.00112625
10,1008.79,1.37174,0.98443,0.00226,0.53696,0.49201,0.46652,0.27646,1.33108,1.26993,0.00565,0.00111078,0.00111078,0.00111078
11,1109.21,1.38843,0.92636,0.00222,0.61961,0.4781,0.47875,0.255,1.59704,1.30302,0.00789,0.00109531,0.00109531,0.00109531
12,1208.98,1.34186,0.86391,0.00206,0.60925,0.52411,0.50987,0.31075,1.3527,1.23623,0.00653,0.00107984,0.00107984,0.00107984
13,1308.78,1.30751,0.83257,0.00203,0.56302,0.53418,0.51619,0.32513,1.27175,1.1238,0.00568,0.00106437,0.00106437,0.00106437
14,1408.69,1.28091,0.78026,0.00197,0.61771,0.53158,0.52881,0.30903,1.27404,1.13179,0.00605,0.00104891,0.00104891,0.00104891
15,1508.37,1.26204,0.72849,0.00186,0.65709,0.53556,0.54602,0.33258,1.26525,1.07181,0.00551,0.00103344,0.00103344,0.00103344
16,1608.46,1.26451,0.71103,0.00191,0.66823,0.57741,0.56869,0.3532,1.28818,1.03107,0.00586,0.00101797,0.00101797,0.00101797
17,1708.12,1.23593,0.69632,0.00191,0.68555,0.57963,0.58964,0.36148,1.27589,1.00161,0.00563,0.0010025,0.0010025,0.0010025
18,1807.74,1.2008,0.68012,0.00188,0.62898,0.57028,0.57584,0.34202,1.31414,1.0505,0.00606,0.000987031,0.000987031,0.000987031
19,1907.51,1.23092,0.66067,0.00194,0.68256,0.59381,0.60808,0.37024,1.26419,0.97676,0.00533,0.000971562,0.000971562,0.000971562
20,2007.46,1.26886,0.64998,0.0019,0.68004,0.55914,0.60795,0.36798,1.27831,1.00712,0.00593,0.000956094,0.000956094,0.000956094
21,2106.68,1.22148,0.61959,0.002,0.67504,0.56364,0.58105,0.34875,1.29433,1.01299,0.00638,0.000940625,0.000940625,0.000940625
22,2206.21,1.19441,0.60162,0.00178,0.67739,0.55009,0.56334,0.34552,1.26105,0.94123,0.00636,0.000925156,0.000925156,0.000925156
23,2305.57,1.20704,0.60985,0.00183,0.64556,0.56455,0.55905,0.33794,1.29584,0.98447,0.00574,0.000909688,0.000909688,0.000909688
24,2405.56,1.18415,0.59477,0.00186,0.72219,0.59229,0.628,0.38165,1.28235,0.90108,0.00614,0.000894219,0.000894219,0.000894219
25,2505.96,1.19763,0.5972,0.00193,0.62574,0.5454,0.54921,0.32767,1.25596,0.96055,0.00576,0.00087875,0.00087875,0.00087875
26,2605.09,1.16295,0.56922,0.00189,0.73615,0.63913,0.65454,0.41724,1.2296,0.91265,0.00541,0.000863281,0.000863281,0.000863281
27,2704.82,1.18942,0.57169,0.00182,0.70117,0.56392,0.57198,0.35959,1.23628,0.92852,0.00583,0.000847813,0.000847813,0.000847813
28,2804.29,1.17554,0.56777,0.00179,0.63776,0.60642,0.60788,0.38238,1.25598,0.88133,0.00647,0.000832344,0.000832344,0.000832344
29,2903.82,1.16051,0.54752,0.00178,0.66197,0.60248,0.59681,0.37489,1.26709,0.864,0.00649,0.000816875,0.000816875,0.000816875
30,3003.37,1.15834,0.52842,0.0018,0.6619,0.65517,0.63467,0.38994,1.28052,0.83944,0.00635,0.000801406,0.000801406,0.000801406
31,3102.97,1.17831,0.52956,0.00172,0.66071,0.63937,0.62905,0.39227,1.25243,0.85321,0.00582,0.000785938,0.000785938,0.000785938
32,3202.58,1.14101,0.51055,0.00176,0.68024,0.5928,0.60818,0.36731,1.2903,0.86969,0.006,0.000770469,0.000770469,0.000770469
33,3301.75,1.16935,0.51872,0.00184,0.68754,0.63992,0.64396,0.39516,1.31482,0.83886,0.00643,0.000755,0.000755,0.000755
34,3401.12,1.17103,0.51677,0.00196,0.74779,0.5939,0.64268,0.39226,1.2284,0.90261,0.00593,0.000739531,0.000739531,0.000739531
35,3500.52,1.14026,0.50836,0.0017,0.67622,0.61646,0.6088,0.38571,1.26555,0.855,0.0066,0.000724062,0.000724062,0.000724062
36,3599.79,1.14249,0.50223,0.00168,0.70315,0.63745,0.63605,0.3932,1.24178,0.85129,0.00569,0.000708594,0.000708594,0.000708594
37,3699.01,1.13144,0.50769,0.00165,0.67979,0.6436,0.64118,0.40071,1.23705,0.8619,0.00588,0.000693125,0.000693125,0.000693125
38,3798.8,1.13229,0.49944,0.00159,0.7178,0.59746,0.63173,0.3831,1.26062,0.87122,0.00579,0.000677656,0.000677656,0.000677656
