epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,85.934,1.29672,2.64775,0.00188,0.60911,0.50394,0.47784,0.29889,1.19648,1.77061,0.00453,0.000415152,0.000415152,0.000415152
2,147.583,1.2642,0.98343,0.00176,0.607,0.49285,0.52611,0.32081,1.23204,1.30142,0.00485,0.000821524,0.000821524,0.000821524
3,208.826,1.26667,0.79923,0.00186,0.72221,0.57053,0.61855,0.38536,1.24071,1.13366,0.00489,0.00121758,0.00121758,0.00121758
4,270.994,1.27864,0.73344,0.00181,0.6519,0.56032,0.59758,0.37212,1.21009,1.11837,0.00479,0.00120359,0.00120359,0.00120359
5,331.311,1.20453,0.6459,0.00168,0.73053,0.63331,0.66361,0.40405,1.29009,0.99289,0.00466,0.00118812,0.00118812,0.00118812
6,403.952,1.23572,0.62693,0.00169,0.7478,0.65864,0.66926,0.41504,1.23551,0.9612,0.00513,0.00117266,0.00117266,0.00117266
7,465.698,1.19835,0.57038,0.00176,0.75472,0.63189,0.64513,0.41411,1.20612,0.97803,0.00501,0.00115719,0.00115719,0.00115719
8,526.945,1.17682,0.55237,0.0017,0.72968,0.60753,0.66233,0.42025,1.19642,0.89229,0.00485,0.00114172,0.00114172,0.00114172
9,588.593,1.17285,0.54967,0.00167,0.71899,0.63244,0.6678,0.42764,1.18048,0.87348,0.00498,0.00112625,0.00112625,0.00112625
10,649.861,1.1582,0.53496,0.0017,0.71224,0.68451,0.67922,0.42736,1.16961,0.80906,0.0044,0.00111078,0.00111078,0.00111078
11,711.725,1.16456,0.52821,0.0017,0.70743,0.65794,0.68271,0.42881,1.21489,0.88726,0.00498,0.00109531,0.00109531,0.00109531
12,772.686,1.1301,0.49066,0.00155,0.71073,0.69234,0.68753,0.43102,1.16794,0.8146,0.00461,0.00107984,0.00107984,0.00107984
13,834.298,1.15302,0.49637,0.00163,0.77659,0.66945,0.69754,0.44835,1.168,0.79742,0.00475,0.00106437,0.00106437,0.00106437
14,895.953,1.14738,0.48406,0.00159,0.76125,0.65462,0.68296,0.42477,1.20297,0.85017,0.00456,0.00104891,0.00104891,0.00104891
15,956.734,1.14327,0.47013,0.00154,0.76924,0.68834,0.72908,0.47264,1.17663,0.76248,0.00496,0.00103344,0.00103344,0.00103344
16,1017.57,1.11447,0.45949,0.0015,0.77178,0.63582,0.6824,0.43916,1.15144,0.78936,0.00466,0.00101797,0.00101797,0.00101797
17,1078.61,1.11542,0.46803,0.00157,0.76576,0.69662,0.72089,0.45983,1.16431,0.7414,0.00435,0.0010025,0.0010025,0.0010025
18,1140.4,1.10246,0.45418,0.00156,0.741,0.64751,0.71072,0.44883,1.18434,0.79689,0.00461,0.000987031,0.000987031,0.000987031
19,1201.21,1.11046,0.45233,0.00157,0.75276,0.65906,0.70894,0.44729,1.16619,0.79763,0.00498,0.000971562,0.000971562,0.000971562
20,1262.16,1.10311,0.44181,0.0015,0.74092,0.68011,0.70231,0.45859,1.15606,0.81897,0.00451,0.000956094,0.000956094,0.000956094
21,1323.39,1.09782,0.43458,0.00162,0.74319,0.66728,0.68238,0.43711,1.16529,0.78688,0.00492,0.000940625,0.000940625,0.000940625
22,1385.41,1.09386,0.42907,0.00149,0.76762,0.69206,0.72435,0.46243,1.17596,0.76767,0.00462,0.000925156,0.000925156,0.000925156
23,1445.97,1.09567,0.43283,0.00154,0.72852,0.62157,0.67906,0.43184,1.17952,0.76424,0.00503,0.000909688,0.000909688,0.000909688
24,1506.65,1.10133,0.43268,0.00159,0.75797,0.70429,0.72,0.45073,1.1639,0.78732,0.00454,0.000894219,0.000894219,0.000894219
25,1567.17,1.10309,0.44755,0.00159,0.74226,0.69859,0.71634,0.45202,1.14953,0.76773,0.00426,0.00087875,0.00087875,0.00087875
26,1629.13,1.07203,0.41617,0.00156,0.78217,0.6681,0.70971,0.45788,1.16309,0.74382,0.00461,0.000863281,0.000863281,0.000863281
27,1689.74,1.07995,0.42064,0.00147,0.74598,0.68745,0.71079,0.45312,1.14573,0.71486,0.00449,0.000847813,0.000847813,0.000847813
28,1750.44,1.09082,0.42002,0.00149,0.79503,0.70142,0.72469,0.47531,1.15447,0.7245,0.00486,0.000832344,0.000832344,0.000832344
29,1811.78,1.06531,0.40986,0.00143,0.77307,0.71497,0.72546,0.45272,1.16919,0.73596,0.00463,0.000816875,0.000816875,0.000816875
30,1874.87,1.07089,0.4071,0.00152,0.79826,0.6831,0.72043,0.47048,1.16872,0.7256,0.00457,0.000801406,0.000801406,0.000801406
31,1936.05,1.0687,0.40336,0.00142,0.78139,0.69398,0.72189,0.46461,1.16019,0.72308,0.0045,0.000785938,0.000785938,0.000785938
32,1997.11,1.04943,0.39688,0.00146,0.74217,0.66097,0.69031,0.4281,1.17268,0.73026,0.0046,0.000770469,0.000770469,0.000770469
33,2058.23,1.06454,0.40897,0.0015,0.77727,0.68068,0.72893,0.46308,1.17484,0.71592,0.00478,0.000755,0.000755,0.000755
34,2121.02,1.06216,0.39685,0.00145,0.79872,0.65927,0.70456,0.44589,1.1478,0.7433,0.00447,0.000739531,0.000739531,0.000739531
35,2182.4,1.04822,0.388,0.00141,0.77661,0.64699,0.69345,0.43667,1.18191,0.76785,0.00458,0.000724062,0.000724062,0.000724062
36,2243.16,1.04906,0.39059,0.00142,0.77722,0.69534,0.73297,0.46606,1.16118,0.72948,0.00448,0.000708594,0.000708594,0.000708594
37,2303.9,1.05761,0.4026,0.00143,0.78191,0.68101,0.72199,0.46102,1.16604,0.70491,0.00461,0.000693125,0.000693125,0.000693125
38,2365.57,1.04949,0.38399,0.00137,0.72319,0.6988,0.70642,0.45093,1.15242,0.70273,0.00454,0.000677656,0.000677656,0.000677656
39,2426.32,1.0351,0.38472,0.00134,0.76313,0.67267,0.73074,0.45993,1.18368,0.75058,0.00436,0.000662188,0.000662188,0.000662188
40,2486.67,1.02951,0.37796,0.00137,0.73252,0.64356,0.70274,0.44497,1.16564,0.78756,0.00455,0.000646719,0.000646719,0.000646719
41,2547,1.02415,0.3741,0.00143,0.75407,0.67917,0.69968,0.43587,1.16329,0.69907,0.00449,0.00063125,0.00063125,0.00063125
42,2607.63,1.01108,0.37337,0.00131,0.73532,0.67372,0.6888,0.43743,1.17905,0.7515,0.00449,0.000615781,0.000615781,0.000615781
43,2669.05,1.03125,0.37608,0.00132,0.75365,0.67422,0.68848,0.43025,1.18665,0.72123,0.00447,0.000600313,0.000600313,0.000600313
44,2730.02,1.02878,0.37028,0.0014,0.76479,0.67632,0.70916,0.45205,1.17768,0.70944,0.00461,0.000584844,0.000584844,0.000584844
45,2791.11,1.01487,0.36443,0.00133,0.74821,0.6243,0.66962,0.42684,1.1613,0.81976,0.00433,0.000569375,0.000569375,0.000569375
46,2851.87,1.01854,0.36791,0.00135,0.72484,0.68697,0.69082,0.4366,1.15192,0.71038,0.00446,0.000553906,0.000553906,0.000553906
47,2913.27,1.00405,0.36683,0.00134,0.74792,0.65885,0.6843,0.42861,1.16815,0.7716,0.0044,0.000538438,0.000538438,0.000538438
48,2974.85,1.02249,0.37141,0.00133,0.76158,0.64206,0.68588,0.44375,1.14253,0.7406,0.00428,0.000522969,0.000522969,0.000522969
49,3035.6,1.00579,0.36212,0.00146,0.77457,0.61939,0.6736,0.43561,1.18338,0.75112,0.00469,0.0005075,0.0005075,0.0005075
50,3096.4,1.00133,0.35923,0.00136,0.78177,0.6596,0.6995,0.44278,1.16618,0.74274,0.0044,0.000492031,0.000492031,0.000492031
51,3157.8,0.98683,0.35126,0.0013,0.75299,0.66901,0.70094,0.44524,1.16403,0.73392,0.00434,0.000476562,0.000476562,0.000476562
52,3219.42,0.99193,0.35183,0.00125,0.74224,0.66955,0.69348,0.4482,1.16527,0.72563,0.00456,0.000461094,0.000461094,0.000461094
53,3280.01,0.98549,0.34043,0.00125,0.71519,0.65979,0.66664,0.42249,1.1578,0.77316,0.0042,0.000445625,0.000445625,0.000445625
54,3340.86,0.98035,0.34491,0.00126,0.73105,0.65688,0.6844,0.42546,1.15877,0.74466,0.00426,0.000430156,0.000430156,0.000430156
55,3402.87,0.98856,0.3436,0.00126,0.77501,0.67551,0.7031,0.45188,1.15451,0.71288,0.00442,0.000414688,0.000414688,0.000414688
56,3465.65,0.97581,0.34437,0.00122,0.75908,0.69287,0.69705,0.44567,1.13772,0.7489,0.00413,0.000399219,0.000399219,0.000399219
57,3526.74,0.95736,0.33466,0.0013,0.74374,0.66046,0.69789,0.4531,1.16506,0.74081,0.00437,0.00038375,0.00038375,0.00038375
58,3587.9,0.95731,0.34084,0.00127,0.77483,0.65954,0.70487,0.45598,1.14949,0.69289,0.00444,0.000368281,0.000368281,0.000368281
59,3649.35,0.97435,0.3383,0.00122,0.76832,0.66631,0.70203,0.44865,1.16998,0.70602,0.00455,0.000352812,0.000352812,0.000352812
60,3712.39,0.9665,0.33847,0.00122,0.78142,0.65403,0.70354,0.44682,1.16438,0.72463,0.00446,0.000337344,0.000337344,0.000337344
